part_id,operator,trial,measurement_mm
1,A,1,3.255394
1,A,2,3.248996
1,A,3,3.240375
1,B,1,3.252144
1,B,2,3.254200
1,B,3,3.257305
1,C,1,3.266263
1,C,2,3.254384
1,C,3,3.248585
2,A,1,3.299289
2,A,2,3.311749
2,A,3,3.302340
2,B,1,3.309862
2,B,2,3.315575
2,B,3,3.307614
2,C,1,3.318333
2,C,2,3.308773
2,C,3,3.305353
3,A,1,3.349434
3,A,2,3.361128
3,A,3,3.351796
3,B,1,3.373557
3,B,2,3.358618
3,B,3,3.357438
3,C,1,3.364415
3,C,2,3.372891
3,C,3,3.358759
4,A,1,3.409599
4,A,2,3.414940
4,A,3,3.416443
4,B,1,3.425775
4,B,2,3.415519
4,B,3,3.420795
4,C,1,3.420789
4,C,2,3.408336
4,C,3,3.422017
5,A,1,3.467321
5,A,2,3.467912
5,A,3,3.467854
5,B,1,3.478212
5,B,2,3.478336
5,B,3,3.483224
5,C,1,3.479029
5,C,2,3.473900
5,C,3,3.474719
6,A,1,3.509833
6,A,2,3.523443
6,A,3,3.522359
6,B,1,3.528886
6,B,2,3.527691
6,B,3,3.524742
6,C,1,3.543083
6,C,2,3.530067
6,C,3,3.532953
7,A,1,3.582676
7,A,2,3.583252
7,A,3,3.568978
7,B,1,3.584057
7,B,2,3.579969
7,B,3,3.591428
7,C,1,3.591662
7,C,2,3.585659
7,C,3,3.583976
8,A,1,3.636442
8,A,2,3.636754
8,A,3,3.617772
8,B,1,3.637088
8,B,2,3.644295
8,B,3,3.644051
8,C,1,3.655858
8,C,2,3.644823
8,C,3,3.645984
9,A,1,3.690790
9,A,2,3.706121
9,A,3,3.691585
9,B,1,3.697717
9,B,2,3.705752
9,B,3,3.700031
9,C,1,3.697646
9,C,2,3.702205
9,C,3,3.701371
10,A,1,3.738868
10,A,2,3.746781
10,A,3,3.745909
10,B,1,3.751745
10,B,2,3.744771
10,B,3,3.746520
10,C,1,3.759602
10,C,2,3.754110
10,C,3,3.757829
